text,label
"Noneho Ndumva Ubwo Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Noneho Ndumva Ubwo",sarcasm/joke
Hmmm Ngo Ngo Ngo Abanzi b’igihugu bakwiye gukurikiranwa bakabihanirwa. Hmmm Ngo Ngo Ngo,hate
"Noneho Murakoze Ngo Ngo Ndumva Iyo myitwarire irasebeje, ntabwo abantu bakwiye kubaho batyo. Noneho Murakoze Ngo Ngo Ndumva",hate
"Murakoze Ndumva Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Murakoze Ndumva",sarcasm/joke
"Hmmm Ubwo Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Hmmm Ubwo",sarcasm/joke
"Hmmm Hmmm Ok Ntacyo uzageraho n’iyo wakora iki, urapfusha ubusa. Hmmm Hmmm Ok",hate
Sha Ubwo Noneho Ngo Ngo ndagukunda? Hmmm reka ntekerezeho... Sha Ubwo Noneho Ngo,sarcasm/joke
"Cyane Ubwo Sha, ndumva ibintu byose biri perfect... cyangwa se ni njye ubibona nabi? Cyane Ubwo",sarcasm/joke
"Ngo Ngo Noneho Noneho Sha, ndumva ibintu byose biri perfect... cyangwa se ni njye ubibona nabi? Ngo Ngo Noneho Noneho",sarcasm/joke
"Sha Cyane Sha, ndumva ibintu byose biri perfect... cyangwa se ni njye ubibona nabi? Sha Cyane",sarcasm/joke
"Sha Sha Yego rwose, rwose ni byiza pe! (ubwo bwose uranseka?) Sha Sha",sarcasm/joke
"Cyane Ndumva Cyane Nuko rero mukomeze gukora cyane, amahirwe masa kuri byose. Cyane Ndumva Cyane",normal
"Cyane Hmmm Noneho Noneho Hmmm Nuko rero mukomeze gukora cyane, amahirwe masa kuri byose. Cyane Hmmm Noneho Noneho Hmmm",normal
"Murakoze Ndumva Ndumva Cyane Oya nta kibazo kabisa, ariko niba ukomeje gutyo uzambwira neza! Murakoze Ndumva Ndumva Cyane",sarcasm/joke
"Noneho Ndumva Oya nta kibazo kabisa, ariko niba ukomeje gutyo uzambwira neza! Noneho Ndumva",sarcasm/joke
"Cyane Sha Cyane Oya nta kibazo kabisa, ariko niba ukomeje gutyo uzambwira neza! Cyane Sha Cyane",sarcasm/joke
Ndumva Noneho Noneho Ngo ndagukunda? Hmmm reka ntekerezeho... Ndumva Noneho Noneho,sarcasm/joke
"Murakoze Cyane Ndumva Cyane Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Murakoze Cyane Ndumva Cyane",sarcasm/joke
Ngo Ok Ese mwaramutse neza? Ndabona ibintu byose biri gutera imbere. Ngo Ok,normal
"Noneho Hmmm Iyo myitwarire irasebeje, ntabwo abantu bakwiye kubaho batyo. Noneho Hmmm",hate
"Noneho Ubwo Yego rwose, rwose ni byiza pe! (ubwo bwose uranseka?) Noneho Ubwo",sarcasm/joke
"Noneho Ubwo Ndumva Hmmm Oya nta kibazo kabisa, ariko niba ukomeje gutyo uzambwira neza! Noneho Ubwo Ndumva Hmmm",sarcasm/joke
"Noneho Sha Sha Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Noneho Sha Sha",sarcasm/joke
"Sha Cyane Ndumva Oya nta kibazo kabisa, ariko niba ukomeje gutyo uzambwira neza! Sha Cyane Ndumva",sarcasm/joke
"Cyane Hmmm Ok Sha, ndumva ibintu byose biri perfect... cyangwa se ni njye ubibona nabi? Cyane Hmmm Ok",sarcasm/joke
"Ubwo Ngo Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Ubwo Ngo",sarcasm/joke
"Ngo Ubwo Ndumva Noneho Hahaha, ntacyo, murakoze cyane pe, ndabizi ntabwo mbikwiriye. Ngo Ubwo Ndumva Noneho",sarcasm/joke
