,tweet,label
0,joke of a government na thunder way de do press up de wait una,negative
1,it will not better for d handlers if this fpl thing oo fraser has always been in my team since the start of the season yesterday dem put caution to his name that he might not play na so i sell am now guy don score goals for st half,negative
2,e be like say oga chairman true colour don dey show cos dis him determination on top dis election mata ehn don dey pass be careful o shey politics na do or die affair ni fresh episode of dey show at pm on top dstv and uhf terrestrial,negative
3,i no fit marry man wey dey fight for nxt sha na everyday i go dey cry,negative
4,its so pathetic why dont we really think abt our clients wen we are doing business here in nigeria becos of our greedy n love money nah we go still come dey say govts bad bad abeg no mind dem for me nah pay on delivery so if d product is bad its only tf i loss,negative
5,na all of us dey this table my actual reason sha is because the thing dey lazy person to wash like why do pots have to be so stubborn,negative
6,na only me no gree baff soap and e come be like say i no serious for my life chai,negative
7,na so use thief my money oh make una help a broda abeg i don send mail tire access bank deserve dragging,negative
8,why you dey thank me na you i dey greet wetin concern me concern you comot here,negative
9,naso my crush tell me sey she love me today i con dey confess feelings too like mumu oo i don forget say today na april fools naso she tell me thanks con send one pawpaw laughing sticker,negative
10,and somebodys daughter thinks she go born pass one for me even that one sev make e no be like say person no born ni‍️ abeg i no fit stand these things women go through biko,negative
11,they don dey talk about school love na only me no get love na only me no get love i hate this jov like wt he used to be a good boy o why e dey yab person until love,negative
12,omo una dey mad oh na love be this,negative
13,i had to remind my tailor to allow me breathe because this waist snatching is becoming something else please my dear let me breathe na who dey alive dey wear asoebi,negative
14,quick question how una dey live this life without jesus shey e sweet ni you for calm down meet jesus oo,negative
15,you go dey hear so the oxygen go con meet the methyl group con form leaving group sha the end product na secondary alchohol shey you get bro i no get,negative
16,women strong ‍️ my house buh na me dey outside dey beg make i come sleep for room,negative
17,please lets respect ourselves im this coming year o my name is orisunmibare emmanuel aka emmylyskilz i am not bossthats how they have been skipping me with you na boss na dont angry me o,negative
18,forget o consultants in the us are rich o na just naija wey don condition us to believe doctors are poor and theres no more money in medicine,negative
19,please next time stay at the back with them put in selt belt bro me as adult ion dey do rough play there sef ion wan stories,negative
20,ran into the guy at small doctors concert this year e do like say e no sabi me,negative
21,i no too rate them like that based on wetin dem don do me but na dem go still ruin me last last,negative
