tweet,label
Bae you try gan.,positive
Mo  gbádùn  rẹ.,positive
O ṣeun gan ni o.,positive
Ẹ ṣe o.,positive
Ìfẹ́ rẹ̀ dá mi lórí.,positive
Ọmọ yi fine die.,positive
I will be there tomorrow.,neutral
Eyi jẹ́ òótọ́.,neutral
Not happy with this.,negative
Weather is okay.,neutral
Ọjọ́ kejì ni ayẹyẹ.!,neutral
Eyi kò dáa....,negative
Fantastic w0rk.,positive
O jẹ́ ẹni burúkú.,negative
I will be there tomorrow.,neutral
I will be there tomorrow.,neutral
Eyi jẹ́ òótọ́.,neutral
Eyi mu mi dùn.,positive
Kò pé rara.,negative
ọmọ yi fine die.,positive
O wa ní uapa iṣere.,neutral
Mi o feran eyi.,negative
"Ẹ  jọ̀ọ́,  mo  n  duro  de  ẹ.",neutral
Ẹ ní ọkọ ayọ́kẹ́lẹ́ tuntun.,neutral
Eyi jẹ́ òótọ́.,neutral
Ìfẹ́ rẹ̀ dá mi lórí.,positive
Mo gbádùn rẹ.,positive
K0 make any sense rara.,negative
Èmi ò fẹ́ rí ẹ mọ́.,negative
Mo máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Bae you try gan.!!,positive
O jẹ́ ẹni burúkú.,negative
Ọjọ́ oni dara pupọ.,positive
Mo ti dé.,neutral
You look so nice.,positive
I don't like this at all.,negative
Ọmọ yi fine die.,positive
Kò pé rara.!,negative
We go meet soon.,neutral
Mo ti dé.,neutral
N0t happy with this.,negative
Inú mi dùn pé mo rí ọ.,positive
O wa ní ita.,neutral
Mi o feran eyi.,negative
N0t happy with this.,negative
Mo máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Mo gbádùn rẹ.,positive
Eyi ko dara rara.,negative
The car is outside.,neutral
We go meet soon.,neutral
Eyi mu mi dùn.,positive
Ẹ jẹ ka lọ.,neutral
Ẹ jẹ ka lọ.,neutral
Báwo ni o ṣe lè ṣe bẹẹ́?,negative
O jẹ́ ẹni burúkú.,negative
O jẹ́ ẹni burúkú.,negative
Weather is okay.,neutral
O ni ẹ̀wà.,positive
Mo ti dé.,neutral
Ẹ ní ọkọ ayọ́kẹ́lẹ́ tuntun.,neutral
The car is outside.,neutral
Inú mi dùn pé mo rí ọ.,positive
Mo fẹ́ràn rẹ gan-an.,positive
O wa ní ita.,neutral
Ẹ jẹ ka lọ.,neutral
Ko make any sense rara.,negative
Fantastic  work.,positive
Mo máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Eyi ko dara rara.,negative
This is lovely abeg.,positive
It's bad abeg.,negative
Eyi kò dáa.!!,negative
Ẹ ṣe 0.,positive
Ko make any sense rara.,negative
O jẹ́ ẹni burúkú.,negative
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
Eyi mu mi dùn.,positive
O ti burú gan....,negative
Kò pé rara.,negative
Ko make any sense rara.,negative
O ti burú gan.,negative
Mo ti dé.,neutral
O ni ẹ̀wà.,positive
Mi o feran eyi.,negative
So annoying mehn.,negative
W3ath3r is okay.,neutral
Eyi ko dara rara.,negative
"Ẹ jọ̀ọ́, mo n duro de ẹ.",neutral
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
Èmi ò fẹ́ rí ẹ mọ́.,negative
Bae you try gan.,positive
Mo ti dé.,neutral
O ṣ3un gan ni o.,positive
Eyi ko dara rara.,negative
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
Bae y0u try gan.,positive
M0 máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Weather is okay....,neutral
This thing no gel.,negative
