tweet,label
deadline yii jẹ́ ọlọ́gbọ́n gan.,positive
O ṣeun pupọ message iranlọwọ rẹ. Ìfẹ́ rẹ̀ dá mi lórí. Mo ní yes didùn loni.,positive
please jẹ eniyan ti ko dara later check no ó ṣẹlẹ̀ kùnà.,negative
O jẹ no ti ko issue rara.,negative
O wa ní ita.,neutral
Ìfẹ́ rẹ̀ dá mi lórí. O ni ẹ̀wà.,positive
kò ohun pade ṣẹlẹ̀. o ó tí A N lọ́la. mọ,neutral
Mo ti check ìrírí rere.,positive
update nkan ń lọ yes Mo ti ní yes rere. Ọmọde yii jẹ́ ọlọ́gbọ́n gan.,positive
problem ní ìrírí support Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa. Mo ní ìbànújẹ email,negative
"please jọ̀ọ́, ṣe é ṣàlàyé?",neutral
Mo ní ìrírí buburu. work pé okay,negative
work ti dé. N kò mọ ohun tí email issue O wa ní ita.,neutral
wa ita. ní O,neutral
ní ti update jẹ later yes team problem ko Mo eniyan,negative
Gbogbo nkan ń lọ dáadáa. Ọjọ́ oni dara pupọ.,positive
Mo check ìbànújẹ okay Ìbànújẹ ni pé you know o ṣe bẹ́ẹ̀.,negative
Ìfẹ́ support dá mi lórí.,positive
later jẹ thank you ti urgent dara rara. Kò pé rara.,negative
O team eniyan ti ko dara rara.,negative
please ti ní ìrírí rere.,positive
Mo n lọ sí ile itaja. Mo ti dé. Ẹ̀rọ náà ń ṣiṣẹ́ báyìí.,neutral
okay jẹ́ work ó ń ṣeé ṣe.,neutral
problem n lọ sí ile itaja.,neutral
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
"meeting A check o jọ̀ọ́, ṣe Ẹ é lọ́la.",neutral
náà Ẹ̀rọ báyìí. ṣiṣẹ́ issue,neutral
Ìbànújẹ ni pé o ṣe later Mo ní ìrírí buburu.,negative
O wa issue ita. Mo n lọ issue ile itaja. Ẹ̀rọ náà ń ṣiṣẹ́ báyìí.,neutral
itaja. ile n N check please sí ó ohun meeting lọ like ṣẹlẹ̀. thank you,neutral
call ni pé o yes bẹ́ẹ̀.,negative
Inú mi dùn pé mo rí ọ. Mo ti message ìrírí later Ọmọde please jẹ́ ọlọ́gbọ́n gan.,positive
"Ẹ jọ̀ọ́, ṣe é ṣàlàyé? issue deadline ọ call ọ̀sán.",neutral
call meeting ń lọ dáadáa. Mo ní email urgent loni. O ni ẹ̀wà.,positive
Ìfẹ́ rẹ̀ dá mi lórí.,positive
please ṣeun pupọ fun iranlọwọ rẹ.,positive
O ṣeun pupọ urgent iranlọwọ rẹ.,positive
Mo eh meeting ọ ní ọ̀sán. later o pade lọ́la.,neutral
