tweet,label
O ṣe amúludun fún mi.,positive
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
O n fa ìṣòro fún mi.,negative
Ìwọ kò dá mi lórí.,negative
O ṣe amúludun fún mi.,positive
Mo dúpẹ́ lọwọ rẹ.,positive
Mo fẹ́ kí o máa bọ̀ wá lẹ́ẹ̀kansi.,positive
Ó wa níbẹ̀.,neutral
O ṣe amúludun fún mi.,positive
Ko dára rara.,negative
"Ẹ̀wẹ̀, a ó rí i.",neutral
Ko dára rara.,negative
O n fa ìṣòro fún mi.,negative
Mo ní ìpàdé lọ́la.,neutral
Mo ń jẹun ní báyìí.,neutral
Ẹ̀sìn òní jẹ́ pé mo lọ sí ọjà.,neutral
Mo máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Ó wa níbẹ̀.,neutral
Mo fẹ́ kí o máa bọ̀ wá lẹ́ẹ̀kansi.,positive
Mo ní ìpàdé lọ́la.,neutral
Ọjọ́ oni dara pupọ.,positive
O ṣe iṣẹ́ tó pé.,positive
Eyi buru ju.,negative
Ẹ̀sìn òní jẹ́ pé mo lọ sí ọjà.,neutral
Mo bínú gan-an.,negative
Ìfẹ́ rẹ̀ dá mi lórí.,positive
Mo máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Ìfẹ́ rẹ̀ dá mi lórí.,positive
Mo máa lọ sílé lẹ́yìn iṣẹ́.,neutral
Mo ti parí iṣẹ́ mi.,neutral
Mo fẹ́ kí o máa bọ̀ wá lẹ́ẹ̀kansi.,positive
O ṣeun pupọ fun iranlọwọ rẹ.,positive
Mo ní ìpàdé lọ́la.,neutral
Ó wa níbẹ̀.,neutral
Mo n lọ si ile itaja.,neutral
Mo ní ìwé tuntun.,neutral
O ṣeun pupọ fun iranlọwọ rẹ.,positive
O wa ní òpópónà.,neutral
Ó wa níbẹ̀.,neutral
Kí ló dé tí o fi ṣe bẹ́ẹ̀?,negative
Mo bínú gan-an.,negative
Mo ti parí iṣẹ́ mi.,neutral
O jẹ́ olùrẹ́rẹ́ gan-an.,positive
Ìfẹ́ rẹ̀ dá mi lórí.,positive
Mo n lọ si ile itaja.,neutral
Ó wa níbẹ̀.,neutral
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
Inú mi dùn pé mo rí ọ.,positive
Mo ti parí iṣẹ́ mi.,neutral
Inú mi dùn pé mo rí ọ.,positive
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
O ṣe iṣẹ́ tó pé.,positive
O ṣeun pupọ fun iranlọwọ rẹ.,positive
"Ẹ̀wẹ̀, a ó rí i.",neutral
O wa ní òpópónà.,neutral
O yẹ kí o dara ju eleyi lọ.,negative
Ẹ̀rọ náà kò ṣiṣẹ́ dáadáa.,negative
Mo fẹ́ kí o máa bọ̀ wá lẹ́ẹ̀kansi.,positive
Mo ń jẹun ní báyìí.,neutral
Mo ní ìwé tuntun.,neutral
Ìwọ kò dá mi lórí.,negative
Ìwọ kò dá mi lórí.,negative
Inú mi dùn pé mo rí ọ.,positive
"Ẹ̀wẹ̀, a ó rí i.",neutral
Inú mi dùn pé mo rí ọ.,positive
O ṣe amúludun fún mi.,positive
O jẹ́ olùrẹ́rẹ́ gan-an.,positive
Kí ló dé tí o fi ṣe bẹ́ẹ̀?,negative
O ṣe amúludun fún mi.,positive
"Ẹ̀wẹ̀, a ó rí i.",neutral
O n fa ìṣòro fún mi.,negative
Ko dára rara.,negative
Ko dára rara.,negative
Inú mi dùn pé mo rí ọ.,positive
O ṣeun pupọ fun iranlọwọ rẹ.,positive
"Ẹ̀wẹ̀, a ó rí i.",neutral
Mo ní ìwé tuntun.,neutral
O ṣe amúludun fún mi.,positive
Ìfẹ́ rẹ̀ dá mi lórí.,positive
Ìbànújẹ ni pé o ṣe bẹ́ẹ̀.,negative
Mo ti parí iṣẹ́ mi.,neutral
Mo n lọ si ile itaja.,neutral
"Ẹ̀wẹ̀, o jẹ́ oníyì pupọ.",positive
"Ẹ̀wẹ̀, o jẹ́ oníyì pupọ.",positive
Mo ní ìwé tuntun.,neutral
Mo ní ìwé tuntun.,neutral
Ìfẹ́ rẹ̀ dá mi lórí.,positive
"Ẹ̀wẹ̀, o jẹ́ oníyì pupọ.",positive
Inú mi dùn pé mo rí ọ.,positive
"Ẹ̀wẹ̀, a ó rí i.",neutral
Mo bínú gan-an.,negative
Mo ti parí iṣẹ́ mi.,neutral
Mo fẹ́ kí o máa bọ̀ wá lẹ́ẹ̀kansi.,positive
Mo ní ìpàdé lọ́la.,neutral
Mo ní ìpàdé lọ́la.,neutral
Ọjọ́ oni dara pupọ.,positive
Inú mi dùn pé mo rí ọ.,positive
Mo n lọ si ile itaja.,neutral
Mo n lọ si ile itaja.,neutral
Ọjọ́ oni dara pupọ.,positive
O n fa ìṣòro fún mi.,negative
Mo ní ìwé tuntun.,neutral
Mo dúpẹ́ lọwọ rẹ.,positive
Mo ní ìwé tuntun.,neutral
O ṣe iṣẹ́ tó pé.,positive
O ṣe amúludun fún mi.,positive
O yẹ kí o dara ju eleyi lọ.,negative
Mo ní ìpàdé lọ́la.,neutral
Ìwọ kò dá mi lórí.,negative
Mo n lọ si ile itaja.,neutral
Ko dára rara.,negative
Ìbànújẹ ni pé o ṣe bẹ́ẹ̀.,negative
O jẹ eniyan ti ko dara rara.,negative
Ìwọ kò dá mi lórí.,negative
Mo ń jẹun ní báyìí.,neutral
Ìwọ kò dá mi lórí.,negative
O ṣe amúludun fún mi.,positive
Mo ní ìpàdé lọ́la.,neutral
Ìwọ kò dá mi lórí.,negative
Mo dúpẹ́ lọwọ rẹ.,positive
"Ẹ̀wẹ̀, o jẹ́ oníyì pupọ.",positive
Mo ní ìwé tuntun.,neutral
Ẹ̀sìn òní jẹ́ pé mo lọ sí ọjà.,neutral
