text,label
Inzangano Ibyitso sha bro sha Inzangano bro Ibyitso,hate
Inzangano Inda nini sha Ntacyo mumaze smh,hate
Ibyiza byinshi Amahoro lol Umugisha Ibyiza byinshi Umugisha Amahoro lol,normal
lol Amakuru Umugisha sha Amakuru Imirimo,normal
smh Hahaha Murakoze Ngo urankunda? bro Murakoze,sarcasm/joke
Umugisha Ikirere smh Umutuzo bro Imirimo smh Umugisha Ikirere,normal
kbs Inzangano Abahutu Abahutu smh,hate
smh Ntacyo mumaze Ntacyo mumaze Ntacyo mumaze smh Ntacyo mumaze,hate
Ubuzima lol Umugisha Amahoro Umugisha Amahoro,normal
Abagome bro Urupfu Inzangano bro Inzangano Urupfu Abagome,hate
bro Ngo urankunda? Sure kabisa,sarcasm/joke
kbs Umugisha Ikirere Muraho Ikirere kbs Muraho,normal
Ibinyoma Urupfu kbs Ibyitso Abahutu,hate
Abagome sha Inzangano sha Abagome Inzangano,hate
sha Ngo urankunda? kbs Nuko se! Ngo urankunda? Nuko se! kbs sha,sarcasm/joke
sha Abagome Urupfu Urupfu Abagome sha,hate
Ngo urankunda? rwose sha,sarcasm/joke
lol rwose smh Murakoze lol rwose,sarcasm/joke
lol Turashimira Umugisha Umutuzo Umugisha Umutuzo Turashimira lol,normal
rwose kbs Hahaha bro Hahaha,sarcasm/joke
Sure kabisa Ngo urankunda? kbs,sarcasm/joke
Ntacyo mumaze Abahutu smh kbs Ntacyo mumaze Abahutu,hate
Umugisha sha Amahoro lol Muraho Ibyiza byinshi lol Umugisha Muraho,normal
bro Sure kabisa Turashima Turashima bro Sure kabisa,sarcasm/joke
kbs Turashimira Muraho Muraho Turashimira kbs,normal
Nta kibazo Turashima rwose smh lol Nta kibazo lol rwose smh Turashima,sarcasm/joke
Umutuzo Umugisha bro,normal
Umugisha sha Umutuzo Umutuzo,normal
lol Hahaha Turashima lol,sarcasm/joke
Muraho smh Ikirere Ibyiza byinshi Ibyiza byinshi smh Muraho Ikirere,normal
Ibyiza byinshi sha Umugisha Ubuzima Ubuzima Umugisha sha Ibyiza byinshi,normal
kbs Amahoro Amahoro Amahoro kbs Amahoro,normal
kbs Turashimira Ubuzima Umutuzo kbs Ubuzima Umutuzo Turashimira,normal
Ntacyo mumaze Ntacyo mumaze Inzangano smh Inzangano Ntacyo mumaze Ntacyo mumaze smh,hate
Sure kabisa kbs lol lol Sure kabisa lol Sure kabisa kbs lol Sure kabisa,sarcasm/joke
Urupfu Inda nini smh Abahutu,hate
Abanyarwanda bro Abanyarwanda lol Ntacyo mumaze Abatutsi Abanyarwanda Abanyarwanda bro Abatutsi lol Ntacyo mumaze,hate
Ikirere Amahoro Muraho kbs Umugisha Amahoro Umugisha Ikirere Muraho,normal
lol kbs smh rwose smh kbs lol rwose,sarcasm/joke
bro Umugisha Ibyiza byinshi Muraho kbs Muraho Umugisha bro Ibyiza byinshi kbs,normal
Abagome lol Inda nini Inda nini bro Inzangano Inzangano lol,hate
lol lol Nta kibazo Nta kibazo Nta kibazo lol Nta kibazo lol,sarcasm/joke
Inzangano Ibinyoma smh Abatutsi Abatutsi smh Ibinyoma Inzangano,hate
Ibyiza byinshi Umugisha Ikirere Ikirere kbs Umugisha Ibyiza byinshi,normal
Urupfu Abatutsi Inda nini bro Abatutsi Inda nini bro,hate
sha Amahoro Umutuzo bro,normal
Abatutsi Ntacyo mumaze Abagome Ntacyo mumaze smh,hate
Ngo urankunda? lol Kabisa kabisa Ngo urankunda? sha,sarcasm/joke
Imirimo Ibyiza byinshi Ibyiza byinshi Umutuzo kbs kbs Umutuzo,normal
Imirimo Umugisha Umugisha Umutuzo sha Imirimo Umugisha sha,normal
kbs Umutuzo Muraho smh smh Umutuzo Muraho kbs,normal
bro Turashimira Ikirere Turashimira Amahoro Ikirere Turashimira bro,normal
sha Ibinyoma Abahutu Urupfu Abahutu,hate
smh Ngo urankunda? kbs rwose rwose smh Ngo urankunda? kbs,sarcasm/joke
Umugisha Imirimo Imirimo Ubuzima bro Ubuzima Imirimo Umugisha bro Imirimo,normal
sha smh Murakoze Ngo urankunda? sha smh Murakoze,sarcasm/joke
Amahoro Ikirere Imirimo lol Imirimo Ikirere Amahoro,normal
Abatutsi smh Abanyarwanda Ibinyoma Abagome sha Abatutsi smh Ibinyoma,hate
kbs Turashima Murakoze lol Ngo urankunda? lol kbs,sarcasm/joke
Abagome Ibinyoma Ibinyoma Ibinyoma bro kbs kbs Ibinyoma bro Abagome Ibinyoma Ibinyoma,hate
Ntacyo mumaze Abahutu kbs,hate
bro Nuko se! Turashima Turashima bro Nuko se!,sarcasm/joke
Ikirere Muraho smh Muraho bro Muraho bro smh Ikirere Muraho,normal
Muraho Ubuzima smh kbs Ikirere Ubuzima Muraho smh kbs Ikirere,normal
Amahoro Ibyiza byinshi bro Ibyiza byinshi Muraho smh Muraho bro Ibyiza byinshi Ibyiza byinshi smh Amahoro,normal
kbs Abagome bro Inda nini Abagome kbs bro Inda nini,hate
Kabisa kabisa Hahaha Sure kabisa rwose smh smh rwose,sarcasm/joke
Abahutu Urupfu bro Inzangano Urupfu Abahutu Inzangano Urupfu,hate
smh Sure kabisa bro Kabisa kabisa smh bro Sure kabisa Kabisa kabisa,sarcasm/joke
kbs bro rwose Kabisa kabisa Nuko se!,sarcasm/joke
Urupfu bro Inda nini Urupfu Inda nini bro,hate
lol Umutuzo smh Imirimo Imirimo smh lol Umutuzo,normal
Amahoro bro Amakuru sha Umutuzo Ikirere,normal
Kabisa kabisa Nta kibazo Nuko se! smh Kabisa kabisa Nuko se! smh,sarcasm/joke
kbs Abagome lol Ntacyo mumaze Abagome Ntacyo mumaze lol,hate
Nuko se! Murakoze Hahaha sha Hahaha sha Nuko se! Hahaha Murakoze Hahaha,sarcasm/joke
Hahaha kbs bro Ngo urankunda?,sarcasm/joke
lol Amakuru sha Ikirere Umugisha Umugisha sha lol Amakuru Ikirere,normal
Murakoze Nta kibazo Hahaha Nuko se! sha Murakoze sha Hahaha Nuko se! Nta kibazo,sarcasm/joke
Hahaha Turashima smh kbs Nta kibazo Nta kibazo smh kbs,sarcasm/joke
Murakoze Ngo urankunda? Ngo urankunda? bro rwose Ngo urankunda? rwose Ngo urankunda? Murakoze bro,sarcasm/joke
smh sha Nuko se! Hahaha lol Turashima smh Hahaha,sarcasm/joke
Urupfu kbs Inda nini Abagome Abahutu,hate
smh Ibinyoma Ntacyo mumaze,hate
smh Turashima Turashima kbs lol lol Turashima,sarcasm/joke
kbs Inda nini Abatutsi smh smh Abatutsi kbs Inda nini,hate
kbs Murakoze Murakoze Nta kibazo Nta kibazo kbs Murakoze Murakoze,sarcasm/joke
sha Ikirere Ikirere Amahoro,normal
Ibinyoma Ibinyoma lol Ibinyoma Abatutsi lol Ibinyoma Ibinyoma Abatutsi Ibinyoma,hate
lol lol Kabisa kabisa kbs lol Kabisa kabisa lol kbs,sarcasm/joke
lol kbs lol Ngo urankunda? kbs Ngo urankunda? lol lol,sarcasm/joke
Inda nini Abagome bro,hate
Ibyitso Ibinyoma sha smh Abanyarwanda,hate
Murakoze lol rwose Hahaha,sarcasm/joke
Inda nini Inzangano smh kbs Ibinyoma,hate
Muraho sha kbs Muraho Muraho kbs Muraho,normal
Ibyiza byinshi Ibyiza byinshi smh lol smh lol Ibyiza byinshi Ibyiza byinshi,normal
Urupfu sha Abatutsi Urupfu Abatutsi sha,hate
smh Ibinyoma Abanyarwanda Inda nini,hate
Nuko se! Kabisa kabisa lol sha Murakoze Murakoze Kabisa kabisa Murakoze sha Nuko se! lol Murakoze,sarcasm/joke
Ngo urankunda? smh Hahaha,sarcasm/joke
Imirimo Imirimo Umutuzo bro bro Umutuzo Imirimo Imirimo,normal
Ntacyo mumaze Abahutu Inda nini lol,hate
Umutuzo smh Ibyiza byinshi bro,normal
Sure kabisa lol Turashima smh smh Turashima Sure kabisa lol,sarcasm/joke
smh Inda nini Ibyitso Abatutsi bro bro Abatutsi Inda nini smh Ibyitso,hate
sha Ntacyo mumaze Abatutsi Abatutsi sha Ntacyo mumaze,hate
kbs Imirimo sha Umugisha Imirimo Umugisha kbs sha,normal
lol Turashimira Muraho kbs Ikirere,normal
Inzangano sha Abagome Ntacyo mumaze Ntacyo mumaze sha Inzangano Abagome,hate
Urupfu bro kbs Ibinyoma Inda nini,hate
rwose Turashima sha Nta kibazo smh Murakoze smh rwose Turashima Nta kibazo sha Murakoze,sarcasm/joke
Inda nini sha Inzangano Abanyarwanda Ibyitso,hate
kbs Abahutu Abahutu Abahutu Abahutu,hate
Umutuzo Ubuzima sha Turashimira Umugisha,normal
lol Murakoze lol Hahaha,sarcasm/joke
Nuko se! bro Kabisa kabisa Nta kibazo bro Nta kibazo Kabisa kabisa Nuko se!,sarcasm/joke
Umugisha lol kbs Ibyiza byinshi Ubuzima Muraho Ibyiza byinshi kbs Umugisha Ubuzima lol,normal
kbs Abagome sha Abahutu Abagome kbs Abahutu sha,hate
Abatutsi Urupfu kbs Inzangano kbs Urupfu Inzangano Abatutsi,hate
Murakoze rwose lol sha lol,sarcasm/joke
bro Inda nini Ibyitso Inda nini bro Ibyitso Inda nini Inda nini,hate
Turashima sha lol kbs kbs sha lol Turashima,sarcasm/joke
Murakoze kbs Nta kibazo Nta kibazo rwose Nta kibazo kbs Nta kibazo,sarcasm/joke
Amahoro Ubuzima Umutuzo sha Ubuzima Umutuzo Amahoro sha,normal
Ikirere Amakuru smh Imirimo Ikirere bro Imirimo smh Ikirere Amakuru bro Ikirere,normal
Inda nini bro Ibyitso Ibyitso Inda nini bro,hate
lol Ngo urankunda? lol kbs Kabisa kabisa kbs lol Ngo urankunda? lol Kabisa kabisa,sarcasm/joke
kbs Ibinyoma Abahutu kbs Abahutu,hate
smh Imirimo Umutuzo Muraho,normal
sha Ibyiza byinshi Amakuru smh,normal
lol kbs Nuko se! Nuko se! lol,sarcasm/joke
bro Sure kabisa sha Sure kabisa lol,sarcasm/joke
Imirimo smh Imirimo bro bro Imirimo Imirimo smh,normal
Ubuzima Turashimira Ikirere Amakuru kbs Turashimira kbs Amakuru Ubuzima,normal
Ibyiza byinshi smh Amakuru Imirimo,normal
kbs Umutuzo smh Umugisha smh kbs Umugisha,normal
lol Ntacyo mumaze Ibyitso kbs lol Ibyitso Ntacyo mumaze,hate
Inzangano bro lol Ntacyo mumaze Inzangano bro Ntacyo mumaze lol,hate
Ntacyo mumaze kbs Inzangano lol lol kbs Inzangano Ntacyo mumaze,hate
Ibinyoma Inzangano bro smh Inzangano bro smh Ibinyoma,hate
Ngo urankunda? Hahaha bro,sarcasm/joke
Sure kabisa Murakoze Nuko se! bro rwose,sarcasm/joke
Umutuzo Ubuzima kbs,normal
Ikirere kbs Muraho,normal
sha Amahoro Umutuzo kbs Muraho Muraho Muraho kbs Amahoro Umutuzo sha Muraho,normal
